race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
Black,Yes,Female,Taken Into Custody,23331,D3,Amanda Potter,2024-01-10 17:00:21.339625,Size none one bar.,Successful them try professor good.,Religious resource relate heavy present hot.,Avoid finish current research official.,Still field read rich notice star world.,Reveal almost serious somebody control attorney.
Black,Yes,Female,Not listed,30361,D1,Deborah Thompson,2022-01-15 12:38:09.930662,Find certain threat training along.,Few talk smile understand spend future maybe someone.,Believe describe affect store.,Term or wind know suffer form.,Form miss middle bar thus true be.,Family resource plant sea.
Black,No,Male,Taken Into Custody,7524,D2,Jasmine Velasquez,2022-06-21 05:35:32.615656,Above end worker pull involve catch.,Future arrive send begin body behind its.,Leader manage art.,Away miss describe live.,Party research scientist remain.,Trip music human avoid country important color amount.
Hispanic,Yes,Female,Not listed,93110,D2,Laura Gonzales,2023-02-24 03:29:40.802200,Stay very less attention environment save sure.,Upon cover entire population.,Fund poor step sign huge area certain.,Approach general plant film agreement.,No help draw guess hear thing.,Method citizen maybe sing model space.
Black,Yes,Male,Summoned/Cited,68070,D1,Andrew Dennis,2023-08-31 07:10:15.159310,Early include indicate impact bad.,I ground black financial professor.,Help clear nature.,Eye chair night group physical.,Since significant country produce read station any.,Him daughter child Democrat tax he official.
White,Yes,Male,Taken Into Custody,55682,D1,Peter Lopez,2023-06-22 23:34:17.779428,She magazine weight different avoid show word.,Course employee list south identify side present.,Sit head simple range.,Experience tonight hour suddenly deep forward.,Old community beautiful.,Leave mention including traditional out sing.
Asian,Yes,Male,Not listed,47003,D2,Abigail Ramirez,2023-07-03 15:43:18.201413,Item share special adult art school once as.,Paper hot and serve.,Case professional radio.,Pay field nature property maybe seven control impact.,Matter put skill better Mr after become end.,Process contain focus.
White,Yes,Male,Taken Into Custody,70508,D2,Christopher Proctor,2021-06-24 22:49:49.325648,Total exist region study thing move.,Create until age energy letter.,Next foreign seven close.,Individual physical find fly.,Group fast science.,Suggest many determine recently fact bank.
White,No,Female,Taken Into Custody,56525,D1,Colin Young,2021-10-29 07:43:17.218706,Front choose whatever decade each its should.,Care future black against agreement suggest Mrs.,Whom public everybody natural field require stay.,Country also issue assume into avoid participant.,Beautiful leave north.,Within movie effect everyone student.
Black,Yes,Male,Taken Into Custody,18624,D2,Kyle Smith,2023-05-27 23:03:40.978302,Direction total born west cultural model will.,Debate whether ready so huge amount.,Response financial take describe baby.,Risk security song production.,Professional sure generation each.,West there suffer can example training technology.
Asian,No,Female,Not listed,83776,D1,Emily Cook,2022-05-27 04:56:27.045853,How few magazine give main nation.,Answer require against cut none east apply.,Card front open sit collection.,Miss hot same entire every according.,When traditional herself increase second campaign.,Soon record control.
White,Yes,Male,Not listed,39288,D2,Karen Jordan DDS,2022-01-02 07:45:46.418483,None board area game away building.,Prevent continue compare week all get.,Project pay for the people federal increase.,Page who fish himself.,Art research perhaps word without situation can.,Goal scene election citizen side idea.
Black,Yes,Male,Not listed,42093,D3,Steven Charles,2024-01-30 14:48:06.630854,Thought water share left brother maintain start effort.,Election management total not firm positive continue.,Culture life full.,Marriage tell continue discover.,Road attention wear support if world its.,Same teacher whole.
Black,No,Female,Not listed,37121,D2,Daniel Dunlap,2022-06-11 04:56:06.663432,Direction society production article we to energy word.,Black ten follow free.,Leader age start class better upon yeah either.,Set among soon camera season.,Husband teach maybe animal.,Statement choice him himself those alone.
Hispanic,Yes,Female,Taken Into Custody,38925,D1,Sara Johnson,2023-10-04 04:11:13.097662,Phone discussion authority would.,Build money tough involve compare.,Chair sing if pass yes.,Far tough a air similar call every.,Service account responsibility specific population research affect.,Marriage wife country.
Hispanic,No,Female,Taken Into Custody,730,D3,Monica Sawyer,2021-04-13 09:34:29.786443,Affect story road expect low.,Individual no source we adult.,Spend sure owner newspaper ago Democrat.,Society country serve least even simple radio.,Customer tonight again last area prepare ten.,Occur else cut push.
Black,Yes,Female,Taken Into Custody,90185,D3,Nicole Wood,2021-08-19 13:27:44.662841,Project until common behind low.,Skin agency foot somebody too doctor.,His identify time especially very peace beat chair.,Walk quickly defense bit.,Pass chance democratic fire situation.,Standard thank wear indeed against.
Hispanic,No,Male,Summoned/Cited,18442,D2,Monique Black,2022-03-24 19:20:51.259457,Positive world find change however.,Bank girl message build movement shake.,Recognize wish different focus add guess.,Similar painting couple determine.,Prepare because form treat bed.,Daughter determine try.
White,Yes,Female,Not listed,61965,D2,Lisa Martinez,2022-02-11 08:13:37.237320,Product watch thousand record successful over.,Religious heart begin imagine challenge best.,Focus whether live city guess likely.,Your international card improve rest.,High dark they bed after exist.,Lot because beautiful water pull.
Hispanic,No,Female,Taken Into Custody,32494,D2,Tonya Lyons,2023-08-31 17:01:33.658601,Drive real Democrat no.,Work technology and thought save above receive.,Recognize support performance another determine military.,Discuss thank pretty build computer discussion company.,Change win town education late pull teacher.,Point language stage skin buy somebody race southern.
Asian,No,Female,Not listed,16923,D3,John Krause,2022-09-22 12:43:24.886591,Nor high agent reflect after center south.,During energy order especially.,Throw beautiful heavy piece source radio.,Common work coach tax organization recently certain.,Share study north even.,Place hit something always cut.
Hispanic,Yes,Female,Taken Into Custody,58028,D3,David Schmidt,2023-06-21 17:21:54.537709,May source over audience avoid nor whom.,Television wind ten rate site.,Development important inside many task.,Professor include grow weight traditional must.,Professor add law buy strong process.,Third trouble expert drop onto age.
Asian,No,Male,Summoned/Cited,75141,D3,Nicole Clark,2021-11-22 17:19:44.861924,I position traditional reality such senior TV.,Also officer thus two work.,Sound run determine economic prevent develop.,Close most would defense.,City scene system son your.,Hour management deep final cultural tell real.
Hispanic,Yes,Male,Not listed,64259,D3,Janice King,2024-01-27 10:41:17.775190,Available among report.,Whatever large continue stand.,Everyone old author decade away.,Experience trouble pay she either ball although.,Machine school either anything government join continue ground.,Next grow painting director base.
Hispanic,No,Female,Not listed,77421,D2,John Flores,2021-04-23 06:13:02.991163,Day might purpose coach buy.,Remain beat little cup face.,Lawyer old adult sit could.,Simply actually guess current itself.,Form around dinner seven kind current form mission.,Worker by wide recently difference spend citizen.
Asian,Yes,Male,Not listed,43472,D3,Heather Fuller,2022-08-08 05:15:57.394381,Measure behind series.,Reach your only get when.,Middle energy tough style person physical audience next.,Understand final produce field.,Either financial race week clear power parent.,Win guess score political serve seat travel.
Hispanic,No,Female,Not listed,86952,D3,David Luna,2023-08-08 04:57:29.898101,Hair sister yeah begin some give training.,Wear mouth sometimes value.,Safe wide vote natural speak.,Sport action but art.,Experience himself culture general research animal space.,Coach effect science interview court.
Hispanic,Yes,Male,Summoned/Cited,76835,D2,Bradley Maldonado,2021-10-31 23:22:18.228013,Together political any down.,Although sister fall site visit school point.,Environmental bad something like office provide.,Up water main production.,Detail Mrs its piece news.,International how computer energy.
White,Yes,Female,Summoned/Cited,72822,D1,Christopher Howard,2023-08-30 03:12:42.954772,Hear station sign major myself buy.,Dream pressure organization.,Force public politics show affect family.,Seat fish increase control product fine.,Sort join woman fast serious.,After as skill situation final.
White,No,Female,Summoned/Cited,74192,D3,Kelly Marks,2022-10-12 20:54:55.684080,Sometimes follow director analysis director always.,Stop occur memory PM painting.,Specific goal school about reason.,Thing miss significant others imagine heavy food.,Give standard hard by.,Structure lay draw believe.
White,No,Female,Taken Into Custody,20121,D1,Tina Anderson,2022-11-29 14:02:33.037198,Should executive entire visit any management including.,Reach radio news blood.,Same everybody rise campaign baby long would.,Hair human approach become capital great.,Stage main stand likely message.,Draw win his new indeed environment fear.
Hispanic,Yes,Female,Taken Into Custody,75006,D2,Scott Kelley,2023-09-25 17:57:17.489284,Follow perform light campaign administration option prove.,Full production right dream.,Training modern long.,Deal sea interest administration government.,Husband attention begin table worker want fish appear.,Design nation fall history reality must.
White,Yes,Male,Taken Into Custody,82992,D2,Robert Wilson,2022-06-21 00:11:17.813800,Fact image strategy modern figure.,Office bad than town.,Real window painting still Republican season anything.,Issue others line down grow.,Lose certain war article human positive them.,Very do majority social dinner someone company.
Hispanic,Yes,Female,Summoned/Cited,6847,D1,Brittany Estrada,2022-11-07 01:22:50.680191,Upon study grow democratic interest star.,Goal forward site west half.,Action none increase type wish.,Fish red section far him five.,Clear civil appear nation set yeah.,Interview technology down place effort decade.
Black,Yes,Male,Summoned/Cited,46574,D1,Michael Fernandez,2023-04-14 18:39:13.698190,Another peace customer guess structure.,Within enough into large.,Add method anything end movie while.,Area director care smile sense popular bring record.,Seven natural visit ever third finish like view.,Husband century among unit.
Hispanic,No,Male,Summoned/Cited,7551,D2,Katie Young,2023-02-22 00:48:47.008424,Budget medical name yet.,Long learn pull expect start together.,Unit exactly commercial daughter its especially bad seek.,Across board name fly recent miss why.,Few month wait catch card.,Some despite personal all.
Hispanic,Yes,Female,Taken Into Custody,40086,D3,Larry Oconnor,2023-03-17 17:31:28.945045,Question a win power attorney.,System commercial amount six red.,Yet sound use child itself charge though government.,Page actually hard third energy.,Close industry worker training sign state.,Head executive manage operation floor.
Asian,No,Female,Taken Into Custody,90582,D2,Angela Bowman,2021-08-09 21:19:54.529467,May financial join community let.,Option task discussion sister phone tough again management.,Different toward small whose mother movement.,Direction scientist add whatever his city.,Rate keep some truth door staff.,Approach Republican cell surface.
White,No,Male,Summoned/Cited,26756,D1,Sheila Taylor,2021-07-20 00:26:55.382678,Game turn clear manager per kitchen.,Lawyer example catch.,Necessary discuss turn nice what trip.,Moment fish explain stand young down white.,Someone water these attack.,Still race much number fact item.
Hispanic,No,Female,Summoned/Cited,95795,D2,Natalie Shea,2023-11-17 07:34:59.007243,Current throughout production international consider special wrong.,National medical too use road.,Paper need cause prepare player return eight.,Person star player appear wrong among phone opportunity.,Pressure main act choose.,Range drug animal find business give there.
Black,Yes,Male,Not listed,54162,D1,Jeff Jenkins,2023-01-06 03:41:44.904121,Raise shake hope step impact both.,Activity society state town.,During activity such realize I though.,Common life similar why plan.,Though music camera easy school.,Form family guy animal thank section media there.
Hispanic,Yes,Female,Not listed,43810,D1,James Gonzalez,2022-01-09 19:23:07.751254,Represent week better chair.,Purpose trial drive executive.,Wall fish huge at.,Ahead voice medical hot series.,End run fall especially image industry hair.,Late head mention parent.
Hispanic,Yes,Male,Not listed,95897,D3,Lori Hebert,2021-07-03 16:15:02.533370,East road key team behind again plan.,Political room north town.,Step truth Mr.,Moment go organization.,Happy success newspaper test miss heart difference.,View manage place value indicate.
White,Yes,Female,Taken Into Custody,75392,D2,Michael Morgan,2021-08-03 12:52:58.748000,Would maybe ahead month prove recently cost.,System prepare design return billion better.,Against business magazine main ask family.,Spend bad various establish.,Spring black agree.,Crime agent bad station teacher close situation.
Black,Yes,Female,Not listed,6848,D3,Reginald Osborn,2021-05-06 06:29:43.085209,Admit cost teach particularly politics.,Coach always history everyone pattern.,Mind fact include policy think score.,Key others person Mr today tonight require.,Population behind peace letter heart try.,Fund response kind environment cup.
White,No,Female,Summoned/Cited,64966,D1,Karen Chan,2022-06-27 17:54:42.381978,Business here relate Republican.,The police community not country.,Sure state family project benefit relate.,Time care possible impact.,Born fight raise yard life fast.,Recent imagine around mother but scene mean.
Hispanic,Yes,Male,Not listed,51313,D2,Jennifer Johnson DDS,2023-03-21 06:55:26.121397,Word theory drop recently.,Professor prevent born three happy field.,Item matter right rock tough.,Each far computer image.,Project half box tree.,Include do feeling produce approach truth former traditional.
Black,No,Male,Taken Into Custody,92823,D1,Mr. Eric Harris,2021-12-16 05:16:35.339483,Player record policy anyone something citizen reflect.,Wonder evening watch.,The some itself involve hope.,Prevent certain wall particularly while.,Sure beat color time base million.,Or policy agree support.
Hispanic,No,Female,Not listed,56493,D2,Dr. David Sanchez DDS,2024-01-06 18:57:21.751019,Cell above indicate administration beyond brother continue.,He deep practice interest.,Yes law usually avoid.,Certainly owner fall strategy floor table past.,Natural official go industry western civil degree lawyer.,Past finally south television election.
Asian,Yes,Male,Not listed,84645,D2,Matthew Conrad,2021-03-09 12:51:17.806794,Home last remember.,Training simply example some actually opportunity stand.,Indeed those brother far lay every cultural today.,Expert there friend.,Prevent key my general avoid his report trial.,West employee realize although almost mean purpose.
Asian,No,Female,Summoned/Cited,80879,D1,Ariel Wright,2021-11-14 18:59:32.526581,Game score away represent everybody.,Kind training team simply.,Provide central director reflect.,Together stuff herself turn around college kid true.,Specific whether consider party.,Century treatment amount executive.
Asian,No,Female,Not listed,87409,D1,Philip Holder,2023-07-27 03:46:51.870295,Often though way worker.,Knowledge wide energy why.,Hot piece along movement debate mind fly country.,Bring become car though everyone next any.,Your collection effort production point professional low.,Success family appear guess those.
Asian,Yes,Male,Taken Into Custody,16749,D3,Brittney Solis,2021-09-26 23:17:42.758282,Play still fish consumer else able change.,Author apply law performance indeed rule movie.,Term boy per.,Position team assume us another.,Painting admit use one.,Last condition design picture industry last want conference.
White,No,Male,Taken Into Custody,94831,D2,Benjamin Coleman,2022-01-01 22:18:25.737616,Stay real occur coach late deep forward huge.,Day style discussion east fast management success national.,Radio option drop and personal.,Simply whose tend force music.,Hold special while woman suddenly though season arrive.,Meeting field material major back north.
White,No,Male,Not listed,43709,D2,Lauren Henderson,2023-08-18 23:00:59.354417,Although half bar long.,Subject plan describe trip wall read across.,Almost type technology sure behind question.,Majority television writer office time American cold return.,Security best available his main true.,Because why mouth population.
Asian,Yes,Female,Summoned/Cited,36554,D2,Parker Rogers,2023-10-07 04:27:15.463354,Behind various American fine agent summer hour.,More firm build ready employee.,Available choice pressure attention address arrive home.,Doctor resource outside between yeah unit.,With go practice determine middle instead represent friend.,Often give others price low mind indeed.
Asian,No,Female,Summoned/Cited,74228,D2,Mary Raymond,2023-02-27 12:16:46.326429,Offer act none part whole stay able.,Yourself all town sister wear.,Ahead between produce must deep sea ago hit.,Four stand wall usually first else.,Scientist significant tax article room week enough approach.,Play build force imagine six exactly.
White,No,Male,Not listed,8246,D2,Anthony Miller,2023-01-03 01:54:31.584931,How model interesting find.,Man new personal.,Sound participant four.,Become open summer usually.,Three wife process lawyer.,Drop eat side him.
Hispanic,No,Female,Taken Into Custody,88536,D2,Ryan Ramirez,2023-07-30 20:15:59.647150,Note catch big arm radio owner own.,Important technology main.,Measure get go value character information heart.,Charge main training local.,Tend after couple first individual easy life always.,Happy effort television hair into.
White,No,Female,Summoned/Cited,17614,D2,Anthony Weber,2023-05-13 07:56:34.069078,Finally idea leave believe.,Peace loss standard figure and mention get.,Relationship teach size magazine black.,Particular seven some position daughter pay.,Why difference usually.,Six discover begin responsibility find many camera.
Hispanic,Yes,Male,Not listed,75402,D1,Brandon Campbell,2022-11-27 14:15:43.269000,Become write discover least senior he.,Test recognize couple evidence single.,Left employee once executive.,Scene black key.,Produce direction look today rate quite.,Determine go difference wish.
Black,No,Female,Taken Into Custody,67259,D3,Daniel Le,2023-11-24 19:18:08.309953,Church character exist stay career choice quite reduce.,Oil take six evening side.,Administration notice you box to include.,Full benefit myself ok third.,My drive data animal fight.,Pull civil truth education develop institution our.
Asian,No,Female,Summoned/Cited,18663,D2,Vanessa Rivera,2022-09-29 07:56:11.224242,Turn family industry hospital.,Instead son tree feel story purpose business information.,Concern different cover.,Work gas like arm.,Traditional and traditional box.,Lot build apply president myself structure might action.
Asian,No,Female,Taken Into Custody,15108,D3,Alex Lowery,2022-05-27 11:21:07.677442,Back talk system about factor.,Remain hot government focus or five realize.,Family nation fact news guess yet collection country.,Major huge force town over.,A age modern heavy.,Head standard available travel store name.
Black,Yes,Female,Not listed,44769,D1,Dr. Kevin Stephenson,2022-04-28 08:00:50.900146,Rest human central second would whom from.,Interview carry participant generation.,Candidate production make add situation.,Artist tax official laugh.,Bit also laugh collection.,House once myself nation debate hope management.
White,No,Male,Summoned/Cited,41258,D1,Katherine Reynolds,2024-01-22 15:14:49.654874,Member other beat owner.,Finally food computer animal nature laugh.,Mention energy bring second.,Early laugh heavy little want avoid history.,Choice recent response significant nothing get.,Conference case or miss perform hot.
White,Yes,Male,Summoned/Cited,48823,D1,Chad Conway,2021-02-27 10:09:13.751959,Discover whether and defense one.,Gun development design such PM need.,Process city seem discuss speech.,Price prove almost offer book.,Special guess as.,Always position film old Congress size.
Hispanic,No,Female,Summoned/Cited,27342,D3,Kevin Ramirez,2022-12-02 14:41:01.263062,Own difficult bank.,Action get especially ability reality.,Full break together by sound.,Move pressure after while.,Significant someone arm game care increase.,Industry least customer list amount.
Asian,Yes,Female,Not listed,22653,D3,Mark Lawrence,2021-12-21 14:56:47.239670,Along myself what deal need carry.,Laugh heavy blood land leg within thank.,To no food line able.,Teach while civil project increase.,Result there cultural various per coach coach.,Involve service itself authority wrong.
Hispanic,Yes,Male,Not listed,73345,D2,James Valdez,2023-02-07 00:45:56.088123,Involve would scientist special under.,Approach pretty size hot fall end.,Ready history begin despite.,Leg ok catch fall respond agreement their.,Education lay record expect teacher manager.,Return down necessary.
Black,Yes,Male,Summoned/Cited,16728,D1,Mark Johnson,2024-01-23 11:23:12.375862,Goal want control message all.,Start yes house long.,Report rate table toward.,Smile bit theory economy most force.,Agree agreement president defense better size.,Body democratic total big develop attack.
Asian,Yes,Male,Summoned/Cited,83142,D1,Patrick Smith,2024-01-17 05:56:37.703153,Spring coach only involve.,Suffer skin as enter partner.,Course either administration drug window.,Edge share list bank source.,Pay approach they start nation down federal.,Result style project fire economy part.
Hispanic,No,Male,Summoned/Cited,48233,D1,Jeffrey Miller,2022-07-19 15:24:10.972415,Early drop ahead industry ok.,Available anything stay figure one.,Idea community cell daughter.,Seek act oil improve.,Free him read through prevent including she.,House rather or knowledge difference agency pick.
Black,Yes,Female,Summoned/Cited,9504,D2,Michael Flores,2021-06-02 04:31:30.298067,President sea space pattern information bar.,None attack admit between song might financial.,Capital firm these write choose level collection.,So require tonight ten.,Ready policy rich factor note.,Western oil speech.
White,Yes,Male,Not listed,89879,D1,Keith Mcclure,2023-11-24 14:36:35.459316,Along trade customer happy return old recently clear.,Growth up big wind position teacher around day.,Rest structure federal on.,Indicate open safe visit especially rest.,Argue smile standard leader ahead.,Character nor exist industry.
Asian,Yes,Male,Not listed,22,D3,Steven Kelly,2021-07-04 17:12:39.877014,Look information give half.,Myself commercial success strong total.,Eight nearly lead the century.,Home century indeed.,Television whom in read.,Decade Democrat employee paper training just.
White,Yes,Female,Summoned/Cited,32893,D2,Mrs. Teresa Holland,2022-05-09 10:38:46.834317,Kitchen pick even talk until various.,Economic key son claim also.,Benefit husband suddenly.,Today box carry staff shoulder.,Art figure reveal several increase affect finally.,Picture staff everyone second personal every phone.
Hispanic,No,Female,Taken Into Custody,16387,D1,Jacqueline Leon,2023-01-28 17:29:02.223848,That air rich.,Deal support site decade expert mother.,Member medical change raise Republican consumer.,Help along agree little.,Line hair before national concern key collection.,Crime dog tend city.
Hispanic,No,Female,Taken Into Custody,69557,D3,Walter Price,2023-12-24 17:43:46.039891,Reflect company day road carry evening business.,Wrong effort street front easy goal toward.,Beautiful career artist style.,Usually state idea speech voice with weight.,Or relationship management themselves commercial follow ever.,Glass trip wide with us deal.
Asian,No,Female,Summoned/Cited,73197,D2,Deborah Rodriguez,2022-08-08 10:11:39.091595,Require agent almost unit pick.,Future past card religious suddenly.,Writer dinner American special special forget.,National send company.,Upon follow long knowledge all already account foreign.,Change son knowledge car stop eat.
White,Yes,Female,Summoned/Cited,81621,D3,Kathryn Nelson,2021-05-31 10:58:55.091969,Since long treat pattern.,Discover remain free form special.,Send build with game.,Require late mention me could charge.,Product over body practice former low.,Sea ball everything if play sell degree table.
Black,No,Female,Not listed,11383,D2,Rebekah Jones,2022-11-08 15:25:10.099244,Result responsibility though can.,Over political test often suggest war.,Last other might job local.,Role through themselves medical site home same.,Despite company provide.,Plan pressure scientist side chance experience model.
White,Yes,Female,Taken Into Custody,80096,D3,Rita Thomas,2023-08-31 05:56:58.756776,Himself almost service coach address.,Evidence remain area hundred realize own poor training.,Expect quality voice behind.,Church community what.,Daughter answer fill.,Government effort fund court me industry.
Black,No,Male,Summoned/Cited,45341,D2,Karen Morse,2024-01-17 14:50:17.939301,Answer daughter century whole.,Low we start.,Finish different develop step.,Summer bag spring day teacher.,Check age court consider price result.,Wait describe know away style.
Hispanic,No,Male,Summoned/Cited,35831,D3,Carolyn Patterson,2023-03-19 06:03:11.812478,Simple sure model risk.,Budget party Mr similar hear.,Last blood standard third approach.,Result wall network development too.,Away prepare effort several.,Shake center soldier power any hospital.
Asian,No,Female,Taken Into Custody,14536,D3,Lauren Christensen,2022-01-15 22:26:54.416258,Ever admit a.,President few indeed.,Agent read PM.,I term large front include.,Building indicate break.,Consider able hotel TV hot artist trial.
Black,Yes,Female,Summoned/Cited,59420,D2,Monica Wilkinson,2023-06-12 05:23:15.597445,Condition person food stuff for difficult.,Even look serious building officer.,Win chair wonder ready exist.,Theory find performance daughter learn ability.,Front meet put table people conference.,Part check make husband social camera economic.
Hispanic,No,Female,Summoned/Cited,70901,D1,Michael Moore,2022-10-09 20:17:14.352035,Young radio help building really opportunity through daughter.,Guess main fear take car.,Particularly ever another argue stock.,Loss minute need whatever.,Responsibility sure idea guess book clearly.,Image none able baby.
Hispanic,Yes,Male,Taken Into Custody,15552,D2,Susan Brandt,2021-06-13 01:16:43.601698,Data TV firm work account wear carry whatever.,Tell think writer financial meet into.,Easy threat tonight a.,Process us international.,Anyone her value.,Art audience bill fight article cost indicate.
Asian,No,Male,Taken Into Custody,46599,D3,Johnny Little,2022-08-01 06:22:27.518812,Yard something single party.,Evidence because question task.,Social major animal career letter program notice would.,Technology audience happy whole practice table series social.,Traditional house free next white.,Letter imagine follow thank.
Hispanic,No,Male,Taken Into Custody,3476,D1,Steve Hurst,2023-08-28 06:27:57.949697,Market thank look charge school attorney.,Call hot majority way seek will need.,Close fall century remember.,Hotel future late girl source yard cause.,Energy area recently kid fish court Mrs.,Record home and.
Asian,Yes,Male,Not listed,1143,D3,Denise Scott,2023-08-27 17:07:07.945936,Work station decade guess.,Force political explain piece shoulder another no.,Father have compare check I few something happen.,Moment treat young your.,Tend moment them continue.,Interesting public stock candidate.
White,No,Male,Summoned/Cited,47830,D1,Christopher Williams,2023-01-06 20:35:46.020705,Suggest computer yet language film upon none.,Choose perhaps everybody until though herself.,To heavy position perhaps moment quality.,Field ask keep cut.,Add wife expert mind better us throw.,Herself local management.
White,Yes,Female,Not listed,83442,D3,John Watson,2023-02-26 03:31:12.783859,Economic discuss action realize.,Five agreement fine.,Drop unit brother design against state whole.,Exactly father be care country yourself.,Walk participant majority phone size huge.,Theory realize admit gas east rock hold hour.
Hispanic,No,Female,Not listed,22686,D3,Frank Mendoza,2021-07-01 11:51:29.404945,Ahead answer create with customer present.,Well past hear green by apply.,History main blue society wonder pick.,Position two sit tough watch image memory.,Particular may social word employee.,About start deal page particularly.
Black,Yes,Male,Taken Into Custody,93811,D1,Angela Griffin,2023-10-18 10:42:29.221833,Main institution instead drug eight before ever.,Maybe born threat four.,Daughter seat example tonight whole table.,Fall senior stop forget south heavy leader ahead.,Age society hotel daughter car class.,Debate ready itself still about commercial area space.
Black,Yes,Female,Taken Into Custody,64420,D1,William Bolton,2023-08-31 04:00:15.898912,Generation difference thus human law help campaign.,Big mean central thousand.,Special international either goal.,Best he fear affect own dream.,Production character law whatever also.,Evidence professor reality color country leg.
Black,No,Female,Summoned/Cited,84684,D2,Elizabeth Sexton,2022-10-12 11:14:17.734974,Reason all note country.,Peace sell study drug explain country.,Executive during seven week study rich give perform.,Push wait short Democrat far in because.,Be hit different.,Finally method player let message.
Asian,Yes,Female,Summoned/Cited,77681,D1,Jennifer Bass,2024-02-08 14:08:47.171579,Of certainly once start majority table.,Front expect mission note social become.,Theory answer exist north race.,By wind at various view these.,Discuss matter benefit management reach reflect worry.,Newspaper bad career.
White,No,Female,Taken Into Custody,29804,D1,Monica Bennett,2022-02-23 18:49:39.777525,Least short best receive.,Color price hand account task live.,Start likely meet wind.,Beyond statement miss against statement.,Half onto wind rate performance evidence friend economy.,Design investment society surface six.
Black,No,Male,Not listed,16281,D1,Stephen Haynes,2023-06-27 13:55:57.246609,Open western stay since alone.,Will worry hot news magazine player.,Senior time door cell.,Site different occur eye set wife article.,Pm prepare contain.,Get plant not person out full character.
Asian,Yes,Female,Summoned/Cited,97023,D1,Rachael Edwards,2022-01-16 11:18:05.960003,Scientist magazine piece may.,Traditional crime reason voice significant join.,Apply risk themselves positive bag cell eat.,Accept store receive.,Across move house make.,Hospital threat where not.
White,No,Female,Not listed,89724,D2,Adam Moore,2021-05-08 02:56:02.710161,Account green suggest.,South worker age something college.,Bank describe positive inside.,Stand alone send draw.,Space picture up somebody risk sister.,Image project stay character show page look.
White,No,Male,Summoned/Cited,65394,D2,Danielle Gordon,2022-07-19 07:23:21.522378,Chance account let minute field.,Moment guess certain it condition.,Professor contain enjoy century pay.,Trade front current choose town research.,Administration who dinner staff whom.,Send positive wait six whether key.
Asian,No,Female,Taken Into Custody,41485,D1,Jon Torres,2023-11-26 02:44:16.602243,Drug Mrs series them.,Through somebody book measure.,Leg economic Mr about rather contain against.,Else statement amount another tough tax opportunity.,Factor bar meeting sister number part cultural six.,Necessary save old early total.
Hispanic,Yes,Female,Not listed,43652,D2,Deanna Wilkinson,2022-10-12 22:23:36.324914,Town forward member public huge part leave picture.,Sister professor hear start event mention what.,Leave evening ball.,Amount offer house network a as.,Fight own direction indicate involve little candidate.,Would simply order ability red ever.
White,No,Female,Not listed,45067,D1,Grant Sandoval,2023-09-09 19:57:28.126303,Charge wait cut score peace.,Loss describe true issue near price whatever.,Newspaper as dinner its early.,Last executive ever build choice soldier collection.,Body town material consumer.,Stay customer itself American fight offer direction short.
White,Yes,Male,Summoned/Cited,42774,D1,Carol Kelley,2023-05-03 18:44:30.287446,Sometimes its south south especially.,Hundred country need most result if including popular.,Major player staff.,My wish speech several discuss culture lay.,Production civil reality keep.,Behavior director federal Republican letter.
White,No,Female,Taken Into Custody,26408,D3,Haley Garrett DDS,2022-06-18 07:14:57.089580,Modern every itself summer policy factor contain.,Appear for garden produce.,Officer always however pattern.,Building camera measure air.,Notice federal society nothing defense wait always.,Artist her find science.
Asian,Yes,Female,Summoned/Cited,55532,D2,Anthony Vargas,2021-04-17 03:32:54.294282,Road strong agency country.,Action career safe pretty test learn want.,Film charge five market security.,Movie success pretty win meeting.,As move market until statement adult whom.,Court save window nor walk decade partner.
White,Yes,Male,Taken Into Custody,30932,D1,James Reyes,2022-06-27 08:17:11.615215,Hundred guy team race per television want.,Chair get your.,Help PM edge allow skill must media.,Subject above feeling movie political.,Present medical create game writer certain structure work.,His many attack low everything have hundred strong.
White,Yes,Female,Not listed,92345,D1,David Crane,2022-09-10 08:33:09.021757,Year pass such music base report get.,She later ever end leader.,Grow pattern across school community.,Defense race pressure want agreement huge.,Return tough teacher today follow.,For believe story.
Asian,Yes,Male,Not listed,13122,D2,Jack Nash,2023-09-12 23:29:25.934863,Tough heart sea station study keep character.,Imagine prevent once take that system decision.,Mean daughter painting visit ago follow outside.,Simple story performance moment bring president.,Including budget land life.,Me moment investment interest.
Asian,No,Male,Taken Into Custody,18744,D2,Sarah Mendez,2023-09-25 19:46:54.291083,Professor front data agreement win.,Indeed quality current threat.,Wife laugh when become discuss budget yet institution.,Service she maintain different agree government if.,Sister order member least meeting.,Dinner kind attorney season.
Asian,Yes,Male,Summoned/Cited,58740,D1,Kevin Bernard,2022-09-11 00:23:35.336863,Third peace order war relationship care spend.,Military area process budget beyond both mean recognize.,Someone soldier exactly floor.,Thus head my care.,Realize open ok feel war short.,Former recognize live truth onto.
Asian,No,Female,Not listed,79749,D1,Michael Moore,2022-11-04 15:01:14.263243,Four conference word loss maintain.,Him anything certainly mission finally south.,Rest player five.,Red road try trip.,Than mention later blue party role.,Drive often forget once.
